movieRank,movieName,moviePic,starNum,quoteNum,movieDes
143,魂断蓝桥,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,8.8,131347人评价,中国式内在的美国电影。
144,穿越时空的少女,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg,8.6,188405人评价,爱上未来的你。 
145,傲慢与偏见,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452005185.jpg,8.4,307547人评价,爱是摈弃傲慢与偏见之后的曙光。
146,教父3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,8.8,132771人评价,任何信念的力量，都无法改变命运。
147,雨中曲,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,8.9,94481人评价,骨灰级歌舞片。
148,完美的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg,9.0,81689人评价,坏人的好总是比好人的好来得更感人。
149,纵横四海,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2272146906.jpg,8.7,148501人评价,香港浪漫主义警匪动作片的巅峰之作。
150,海边的曼彻斯特,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2496940327.jpg,8.6,186829人评价,我们都有权利不与自己的过去和解。
151,萤火之森,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1272904657.jpg,8.7,160528人评价,触不到的恋人。
152,7号房的礼物,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,8.7,178703人评价,《我是山姆》的《美丽人生》。
153,哈利·波特与死亡圣器(下),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,8.6,278456人评价,10年的完美句点。
154,玩具总动员3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,8.8,194918人评价,跨度十五年的欢乐与泪水。
155,花样年华,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,8.5,250795人评价,偷情本没有这样美。
156,荒蛮故事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192834364.jpg,8.8,140365人评价,始于荒诞，止于更荒诞。
157,小森林 冬春篇,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,8.9,115953人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
158,我是山姆,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,8.8,105299人评价,爱并不需要智商 。
159,二十二,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,8.8,90826人评价,有一些东西不应该被遗忘。
160,人工智能,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,8.6,192055人评价,对爱的执着，可以超越一切。
161,浪潮,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg,8.7,133909人评价,世界离独裁只有五天。
162,时空恋旅人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,8.6,202735人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
163,冰川时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,8.4,275043人评价,松鼠才是角儿。
164,超能陆战队,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,8.6,374331人评价,Balalala~~~
165,唐伯虎点秋香,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1946455272.jpg,8.4,331483人评价,华太师是黄霑，吴镇宇四大才子之一。
166,香水,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470006658.jpg,8.4,279022人评价,一个单凭体香达到高潮的男人。
167,朗读者,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,8.5,280945人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
168,蝙蝠侠：黑暗骑士崛起,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,8.6,298216人评价,诺兰就是保证。
169,心迷宫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2275298525.jpg,8.6,164032人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
170,追随,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1150103377.jpg,8.9,82822人评价,诺兰的牛逼来源于内心散发出的恐惧。
171,罗生门,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1864872647.jpg,8.7,126565人评价,人生的N种可能性。
172,撞车,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2075132390.jpg,8.6,175926人评价,天使与魔鬼的冲撞。
173,一次别离,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg,8.7,133740人评价,只有有信仰的人才能说出事实真相。
174,可可西里,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,8.7,130580人评价,坚硬的信仰。
175,战争之王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453719066.jpg,8.5,176249人评价,做一颗让别人需要你的棋子。
176,未麻的部屋,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,8.8,98526人评价,好的剧本是，就算你猜到了结局也猜不到全部。
177,爆裂鼓手,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,8.6,239721人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
178,梦之安魂曲,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p884936202.jpg,8.7,112755人评价,一场没有春天的噩梦。
179,地球上的星星,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg,8.8,85389人评价,天使保护事件始末。
180,恐怖游轮,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,8.3,326303人评价,不要企图在重复中寻找已经失去的爱。
181,碧海蓝天,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455722535.jpg,8.7,108527人评价,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
